lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,4.71e-07,1.433e-06,3.5938e-05,0.00250384,0.38551,25.0098
half_sorted,2e-07,2.835e-06,2.9285e-05,0.000378255,0.00487912,0.0573214
n&p,1.6e-07,2.535e-06,3.3784e-05,0.000434862,0.0055848,0.0612085
n,1.7e-07,2.445e-06,3.4195e-05,0.000436515,0.00556366,0.0632203
only3,2.3e-07,2.134e-06,0.0001008,0.00914573,0.873386,83.3858
p,1.7e-07,2.484e-06,3.8001e-05,0.00042879,0.00556697,0.0630699
r_half_sorted,1.9e-07,2.325e-06,3.2141e-05,0.000376893,0.00460432,0.0554672
r_sorted,1.5e-07,3.656e-06,0.000279068,0.0285433,2.9311,271.191
r_sorted_10batch,1.11e-07,1.263e-06,4.0427e-05,0.00351304,0.269974,25.4305
r_sorted_only3,1.31e-07,1.603e-06,9.3487e-05,0.00843584,0.881159,83.7848
sorted,2.01e-07,3.967e-06,0.000320596,0.03346,3.06583,290.346
sorted_10batch,1.1e-07,1.042e-06,3.8483e-05,0.00257327,0.242262,25.6764
sorted_only3,1.6e-07,1.503e-06,9.6733e-05,0.00847619,0.823236,84.5444
