lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,5.21e-07,2.916e-06,4.9924e-05,0.00272204,0.423387,39.9914
half_sorted,2.51e-07,3.056e-06,3.141e-05,0.000391481,0.00460985,0.0546938
n&p,2.2e-07,3.006e-06,3.6139e-05,0.000444,0.00553639,0.0646538
n,2.4e-07,2.775e-06,3.6358e-05,0.00043867,0.00562556,0.0645095
only3,2.81e-07,3.507e-06,9.4068e-05,0.00798529,0.863775,84.3006
p,2.41e-07,3.055e-06,3.5728e-05,0.000441255,0.00559742,0.0685501
r_half_sorted,2.31e-07,2.855e-06,3.1339e-05,0.000386581,0.00479834,0.0567558
r_sorted,2.3e-07,2.024e-06,1.7202e-05,0.000197303,0.00300963,0.0317899
r_sorted_10batch,1.5e-07,1.874e-06,3.6589e-05,0.00246062,0.263326,25.5869
r_sorted_only3,2.21e-07,3.216e-06,0.000116361,0.0107181,0.857343,112.997
sorted,2.1e-07,1.423e-06,9.949e-06,0.00010596,0.00130017,0.0138113
sorted_10batch,1.2e-07,2.756e-06,8.6444e-05,0.00755775,0.810777,79.8736
sorted_only3,2e-07,3.236e-06,0.000124676,0.01058,1.18694,112.067
