lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,1.342e-06,2.855e-06,3.0628e-05,0.00382137,0.0932825,28.4585
half_sorted,8.31e-07,3.848e-06,2.5388e-05,0.000238441,0.00393978,0.0940718
n&p,7.52e-07,3.927e-06,3.2071e-05,0.000313552,0.00457203,0.102317
n,6.22e-07,3.507e-06,2.7552e-05,0.00030673,0.00531092,0.136301
only3,6.61e-07,1.773e-06,9.037e-06,7.2337e-05,0.000788661,0.00984967
p,5.61e-07,2.975e-06,2.7422e-05,0.000309505,0.00533986,0.135003
r_half_sorted,7.31e-07,3.086e-06,2.5057e-05,0.000256305,0.00419109,0.103049
r_sorted,5.81e-07,2.605e-06,1.8505e-05,0.000218614,0.00416815,0.108721
r_sorted_10batch,6.22e-07,2.355e-06,3.5076e-05,0.0061835,0.0470415,0.00867627
r_sorted_only3,4.51e-07,1.372e-06,8.215e-06,7.0363e-05,0.000699923,0.00953205
sorted,5.41e-07,2.365e-06,1.6552e-05,0.000186222,0.00322987,0.0810908
sorted_10batch,5.71e-07,1.803e-06,1.4448e-05,0.000540752,0.139675,105.253
sorted_only3,4.91e-07,1.273e-06,8.326e-06,7.0023e-05,0.000705694,0.0102462
