lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,6.31e-07,1.0049e-05,0.000531364,0.0472663,4.59402
half_sorted,3.41e-07,1.2935e-05,0.00082521,0.0654819,8.01244
n&p,3.41e-07,1.2323e-05,0.000791025,0.067114,8.25469
n,2.6e-07,1.2474e-05,0.000765326,0.0689321,8.21399
only3,3.11e-07,7.935e-06,0.000489104,0.0465809,4.63033
p,2.8e-07,1.2884e-05,0.00079958,0.0690636,8.15754
r_half_sorted,2.5e-07,1.1342e-05,0.000746941,0.0662974,7.60266
r_sorted,2.41e-07,8.657e-06,0.000635981,0.0613421,5.68664
r_sorted_10batch,1.2e-07,9.368e-06,0.000524391,0.0472678,4.63122
r_sorted_only3,1.7e-07,6.903e-06,0.000483514,0.0467005,4.61304
sorted,3.01e-07,1.1652e-05,0.000815952,0.0646778,6.33003
sorted_10batch,1.6e-07,1.073e-05,0.000596387,0.047492,4.63376
sorted_only3,2.61e-07,7.494e-06,0.000512398,0.0490413,4.59235
