lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,5.01e-07,1.783e-06,5.3972e-05,0.00299679,0.24424,24.0641
half_sorted,2.5e-07,2.314e-06,3.147e-05,0.000390278,0.00461081,0.0543638
n&p,2.4e-07,2.535e-06,3.4234e-05,0.000453397,0.00531071,0.0627287
n,1.9e-07,2.405e-06,3.4896e-05,0.000435994,0.00526154,0.0627609
only3,2.2e-07,2.074e-06,9.3366e-05,0.00824117,0.808852,80.1285
p,2.4e-07,2.594e-06,4.0096e-05,0.000456944,0.00521937,0.0627019
r_half_sorted,2e-07,2.295e-06,3.2902e-05,0.000392682,0.00448169,0.0522808
r_sorted,2.9e-07,3.757e-06,0.000271603,0.0276224,2.73495,268.743
r_sorted_10batch,1.7e-07,1.333e-06,4.6168e-05,0.00254009,0.232566,23.8092
r_sorted_only3,1.7e-07,1.563e-06,9.6983e-05,0.00819879,0.805242,80.1086
sorted,2.7e-07,4.498e-06,0.000265963,0.0280848,2.87438,277.86
sorted_10batch,1.71e-07,1.062e-06,4.2861e-05,0.00256739,0.250371,23.8953
sorted_only3,1.8e-07,1.503e-06,9.7234e-05,0.00824848,0.84833,79.1998
