lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,1.783e-06,3.546e-06,3.6078e-05,0.00440511,0.280559,23.6468
half_sorted,1.152e-06,6.673e-06,5.5725e-05,0.000549509,0.00574976,0.0892693
n&p,9.62e-07,6.753e-06,5.6016e-05,0.000539821,0.0066178,0.11015
n,9.82e-07,5.57e-06,4.7239e-05,0.000610955,0.00660903,0.158852
only3,6.61e-07,2.064e-06,9.458e-06,8.2987e-05,0.000702148,0.00951517
p,6.61e-07,5.731e-06,5.1858e-05,0.000525003,0.0062663,0.158819
r_half_sorted,6.82e-07,5.801e-06,5.796e-05,0.000523901,0.00570697,0.0874628
r_sorted,7.71e-07,5.49e-06,5.2599e-05,0.000491749,0.00487885,0.0514492
r_sorted_10batch,7.41e-07,3.376e-06,4.762e-05,0.00572045,0.139844,0.0161765
r_sorted_only3,5.61e-07,1.352e-06,8.015e-06,7.2747e-05,0.000771418,0.00975044
sorted,7.82e-07,5.56e-06,5.0836e-05,0.000499585,0.00490734,0.0526756
sorted_10batch,6.91e-07,2.284e-06,1.7924e-05,0.000106221,0.326903,85.5547
sorted_only3,4.81e-07,1.303e-06,8.116e-06,6.9852e-05,0.000710954,0.0089446
