lists,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8
10batch,5.51e-07,9.327e-06,0.000947953,0.094081,9.49709
half_sorted,2.11e-07,9.708e-06,0.000924047,0.0941311,9.45639
n&p,1.9e-07,9.739e-06,0.000927264,0.0949051,9.40494
n,2.4e-07,9.778e-06,0.000934868,0.0953822,9.48573
only3,1.81e-07,9.739e-06,0.000916724,0.0948584,9.46746
p,1.91e-07,9.327e-06,0.000952391,0.0940731,9.48182
r_half_sorted,1.8e-07,9.318e-06,0.000929828,0.0946341,9.51353
r_sorted,1.71e-07,9.468e-06,0.000921463,0.0947368,9.46833
r_sorted_10batch,1.51e-07,9.127e-06,0.000912996,0.0948536,9.46377
r_sorted_only3,1.5e-07,8.346e-06,0.000920701,0.0946936,9.50017
sorted,1.7e-07,8.276e-06,0.000913909,0.0944439,9.47955
sorted_10batch,1.1e-07,8.346e-06,0.000911634,0.0936971,9.40324
sorted_only3,1.2e-07,8.155e-06,0.000965355,0.0942594,9.43093
